capture_id,capture_path,classification,confidence,pf127_signal,capture_playfield_id,event_playfield_ids,resource_playfield_ids,runtime_playfield_ids,character,validation_status,raw_packet_evidence,packets_hex_bytes,raw_packets_bytes,packets_hex_rows,raw_packets_rows,enemy_name_count,enemy_names,subway_terms,repository_reference_count,repository_references,implementation_reference_count,implementation_references,artifacts,reason
20260509-175138,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-175138,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,279,0,2,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-182711,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-182711,UNRESOLVED,unresolved,,,,,,,,none,0,0,0,0,0,,,1,docs/ai/CURRENT_TASK.md,0,,events.log;packets.hex.log,No usable capture-info or event playfield evidence exists.
20260509-183006,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-183006,ELSEWHERE,confirmed,,,566;567;705;800;477833;478024,566;567;705;800,,,,packets.hex.log,9233467,0,47164,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-215425,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-215425,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,3511,0,18,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-221306,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-221306,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,51128,0,280,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-224515,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-224515,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,39390,0,200,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-225115,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-225115,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,6946,0,36,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-225210,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-225210,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,26229,0,132,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-225300,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-225300,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,8739,0,44,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-225357,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-225357,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,2079,0,15,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260509-225700,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260509-225700,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,9485,0,52,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260510-011941,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260510-011941,ELSEWHERE,confirmed,,,566;800,566;800,,,,packets.hex.log,139440,0,423,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260510-030142,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260510-030142,ELSEWHERE,confirmed,,,566;655;800;3085;477920,566;655;800;3085,,,,packets.hex.log,886492,0,3429,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260510-030750,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260510-030750,ELSEWHERE,confirmed,,,477920,,,,,packets.hex.log,98822,0,516,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-220409,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-220409,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,107561,0,564,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-222543,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-222543,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,185997,0,980,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-223438,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-223438,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,357280,0,1927,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-230408,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-230408,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,36322,0,189,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-234942,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-234942,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,19571,0,108,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-235150,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-235150,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,22833,0,128,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260517-235347,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260517-235347,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,20887,0,114,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-221111,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-221111,ELSEWHERE,confirmed,,,567,,,,,packets.hex.log,216097,0,1294,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-221909,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-221909,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,52726,0,300,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-223807,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-223807,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,18821,0,112,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-224357,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-224357,ELSEWHERE,confirmed,,,567,567,,,,packets.hex.log,9850626,0,21688,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-225855,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-225855,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,5984,0,40,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-231847,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-231847,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,831,0,6,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260524-232944,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260524-232944,ELSEWHERE,confirmed,,,4582,,,,,packets.hex.log,9876,0,68,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260528-190456,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260528-190456,ELSEWHERE,confirmed,,,477565,,,,,packets.hex.log,616041,0,3558,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260528-191120,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260528-191120,ELSEWHERE,confirmed,,,647;655;4001;4310;4531;4677;477565;870423,647;655;4001;4310;4531;4677,,,,packets.hex.log,6720521,0,34950,0,0,,,1,docs/evidence/SUBWAY_BLOODCREEPER_DISOBEDIENT_BOT_LOOT_AUDIT.md,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260528-192819,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260528-192819,ELSEWHERE,confirmed,,,477565,,,,,packets.hex.log,600022,0,3666,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260528-210106,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260528-210106,UNRESOLVED,unresolved,,,,,,,,none,0,0,0,0,0,,,1,docs/ai/CURRENT_TASK.md,0,,events.log;packets.hex.log,No usable capture-info or event playfield evidence exists.
20260529-205920,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260529-205920,ELSEWHERE,confirmed,,,794626,,,,,packets.hex.log,374288,0,2028,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260529-212034,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260529-212034,ELSEWHERE,confirmed,,,794626,,,,,packets.hex.log,89445813,0,467742,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-023030,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-023030,ELSEWHERE,confirmed,,,478032,,,,,packets.hex.log,307269,0,1334,0,0,,,1,docs/reference/packets/LivePacketImplementationGaps.md,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-033152,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-033152,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,4140,0,20,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-034321,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-034321,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,9444,0,60,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-035317,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-035317,ELSEWHERE,confirmed,,,4582,4582,,,,packets.hex.log,28529,0,110,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-155930,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-155930,ELSEWHERE,confirmed,,,478032,,,,,packets.hex.log,263380,0,1454,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-160142,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-160142,ELSEWHERE,confirmed,,,478032,,,,,packets.hex.log,2515578,0,13039,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-201704,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-201704,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,4780,0,26,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-201712,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-201712,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,29909,0,150,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-203605,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-203605,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,515237,0,2748,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-205302,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-205302,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,30525,0,161,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-224655,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-224655,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,6012,0,34,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-224658,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-224658,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,109170,0,578,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260531-224755,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260531-224755,ELSEWHERE,confirmed,,,544770,,,,,packets.hex.log,66426,0,358,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260604-235530,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260604-235530,ELSEWHERE,confirmed,,,800;937984,800,,,,packets.hex.log,24310223,0,106238,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260605-173336,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260605-173336,ELSEWHERE,confirmed,,,937984,,,,,packets.hex.log,359268,0,1298,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260605-180144,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260605-180144,ELSEWHERE,confirmed,,,937984,,,,,packets.hex.log,103654,0,264,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-005753,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-005753,ELSEWHERE,confirmed,,,735;940039,735,,,,packets.hex.log,1167992,0,3482,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-025250,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-025250,ELSEWHERE,confirmed,,,938031,,,,,packets.hex.log,113126,0,634,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
